station,valid,name,state,wfo,high,high_record_years,high_normal,high_time,low,low_record,low_record_years,low_normal,low_time,precip,precip_normal,precip_month,precip_jan1,precip_jan1_normal,precip_jul1,precip_dec1,precip_dec1_normal,precip_record,precip_record_years,precip_jan1_depart,snow,snowdepth,snow_normal,snow_month,snow_jun1,snow_jul1,snow_dec1,snow_record,snow_record_years,snow_jul1_normal,snow_dec1_normal,snow_month_normal,snow_jul1_depart
KGTF,2/3/2020,GREAT FALLS INTL,MT,TFX,33,1935,37,245 PM,6,-35,1989,16,724 AM,T,0.02,T,0.07,0.56,M,M,M,0.4,2019,-0.56,T,0,M,T,M,63.5,3.1,4.2,2019,32.7,19,0.9,30.8
KRMG,2/3/2020,ROME/RUSSELL(RAMOS),GA,FFC,78,,53,426 PM,33,M,,31,748 AM,0,0.16,T,4.94,5.34,M,11.28,9.72,M,,-0.4,0,0,M,0,M,0,0,M,,M,M,M,M
K55N,2/3/2020,ATLANTIC CITY MARINA,NJ,PHI,61,2006,42,248 PM,38,-4,1881,30,418 AM,0,0.1,0.16,1.67,3.39,M,6.5,7.01,1.61,1880,-1.72,M,M,M,M,M,M,M,M,,M,M,M,M
TISX,2/3/2020,Christiansted,VI,SJU,85,1998,84,239 PM,70,64,1984,72,702 AM,0,0.07,T,2.83,2.34,M,4.61,5.31,1.09,1956,0.49,0,M,M,0,M,0,0,M,,0,0,0,0
KLSE,2/3/2020,LA CROSSE,WI,ARX,42,1928,28,113 PM,24,-35,1996,10,734 AM,0,0.03,0,1.01,1.22,M,2.44,2.58,0.43,1936,-0.21,0,3,M,0,M,23.4,M,8.3,1936,27.3,M,1,-3.9
KMSN,2/3/2020,MADISON,WI,MKX,39,1992,28,120 PM,24,-29,1996,12,614 AM,0,0.05,0,1.74,1.36,M,3.26,3.1,1.2,1875,0.38,0,5,M,0,M,37.4,21.7,3.9,1936,31.8,27.7,1.3,5.6
KHWD,2/3/2020,HAYWARD AIR TERM,CA,MTR,57,2018,58,356 PM,35,37,2007,44,741 AM,0,M,0,1.4,M,M,M,M,M,,M,M,M,M,M,M,M,M,M,,M,M,M,M
KCVG,2/3/2020,CINCINNATI/COVINGTO,KY,ILN,64,1883,40,1009 PM,39,-9,1985,24,703 AM,0,0.11,T,4.14,3.32,M,7.72,6.69,1.34,1887,0.82,0,0,M,0,M,6.4,3.7,5.7,1995,13,12.2,0.9,-6.6
KEAU,2/3/2020,EAU CLAIRE,WI,MPX,36,1991 1934 1928,25,1035 AM,23,-34,1912,6,1159 PM,0,0.03,0,1.18,0.97,M,3.4,1.97,0.6,1919,0.21,0,10,M,0,M,43.7,32.3,5,1976,30,23.7,1,13.7
KMCI,2/3/2020,KANSAS CITY/INTL,MO,EAX,50,1934,40,1216 PM,34,-12,1996 2011,21,1159 PM,0,0.04,0,2.8,1.2,M,4.53,2.73,0.9,2012,1.6,0,0,M,0,M,14.1,12.2,6,1901,11.4,10,0.6,2.7
